id;isbn;name;publish_year;copies;picture
1;asXXXXXXXX;lifestyle;haze;11272;because abandoned
2;coaxinglyX;jovially now athwart;as u;16410;gasp um shyly
3;yippee inhibi;quirkily if;like;8619;intrepid wetly
4;officially go;whoa impact;yumm;31774;blissfully but ugh
5;tackleXXXX;coaxingly;ham ;5652;ack
6;bungalowXX;from if smuggle;for ;17908;godfather towards
7;peony preheat;implode;till;22368;badly
8;unnaturally;mysteriously yahoo huzzah;nega;10038;whenever athwart
9;in cavernous ;mortar birdbath spook;port;8101;um across mmm
10;for demobilis;yahoo;exce;2003;throughout notwithstanding shell
